TEAMNAME,NAME,DEBUTDATE 
Australia,PA Jaques,Australia v South Africa at Melbourne (Docklands), 2005/06
Australia,DJ Cullen,Bangladesh v Australia at Chattogram, 2005/06
Australia,MJ Cosgrove,Bangladesh v Australia at Fatullah, 2005/06
Australia,BW Hilfenhaus,Australia v New Zealand at Hobart, 2006/07
Australia,SW Tait,Australia v England at Sydney, 2006/07
Australia,AC Voges,New Zealand v Australia at Hamilton, 2006/07
Australia,AA Noffke,Australia v India at Brisbane, 2007/08
Australia,SE Marsh,West Indies v Australia at Kingstown, 2008
Australia,L Ronchi,West Indies v Australia at St George's, 2008
Australia,DJ Hussey,West Indies v Australia at Basseterre, 2008
Australia,B Geeves,Australia v Bangladesh at Darwin, 2008
Australia,RJ Harris,Australia v South Africa at Hobart, 2008/09
Australia,DA Warner,Australia v South Africa at Hobart, 2008/09
Australia,CJ Ferguson,Australia v New Zealand at Melbourne, 2008/09
Australia,PM Siddle,Australia v New Zealand at Brisbane, 2008/09
Australia,B Laughlin,South Africa v Australia at Durban, 2008/09
Australia,SM Harwood,South Africa v Australia at Port Elizabeth, 2008/09
Australia,DE Bollinger,Australia v Pakistan at Dubai (DSC), 2009
Australia,MJ North,Australia v Pakistan at Abu Dhabi, 2009
Australia,DP Nannes,Scotland v Australia at Edinburgh, 2009
Australia,TD Paine,Scotland v Australia at Edinburgh, 2009
Australia,MC Henriques,India v Australia at Delhi, 2009/10
Australia,GA Manou,India v Australia at Delhi, 2009/10
Australia,CJ McKay,India v Australia at Hyderabad (Deccan), 2009/10
Australia,SPD Smith,Australia v West Indies at Melbourne, 2009/10
Australia,JR Hazlewood,England v Australia at Southampton, 2010
Australia,JW Hastings,India v Australia at Visakhapatnam, 2010/11
Australia,MA Starc,India v Australia at Visakhapatnam, 2010/11
Australia,XJ Doherty,Australia v Sri Lanka at Melbourne, 2010/11
Australia,JJ Krejza,Australia v England at Perth, 2010/11
Australia,JL Pattinson,Bangladesh v Australia at Dhaka, 2011
Australia,PJ Cummins,South Africa v Australia at Centurion, 2011/12
Australia,MR Marsh,South Africa v Australia at Centurion, 2011/12
Australia,DT Christian,Australia v India at Melbourne, 2011/12
Australia,MS Wade,Australia v India at Melbourne, 2011/12
Australia,PJ Forrest,Australia v India at Adelaide, 2011/12
Australia,NM Lyon,Australia v Sri Lanka at Adelaide, 2011/12
Australia,GJ Bailey,West Indies v Australia at Kingstown, 2011/12
Australia,GJ Maxwell,Afghanistan v Australia at Sharjah, 2012
Australia,AJ Finch,Australia v Sri Lanka at Melbourne, 2012/13
Australia,PJ Hughes,Australia v Sri Lanka at Melbourne, 2012/13
Australia,UT Khawaja,Australia v Sri Lanka at Melbourne, 2012/13
Australia,BCJ Cutting,Australia v Sri Lanka at Adelaide, 2012/13
Australia,KW Richardson,Australia v Sri Lanka at Adelaide, 2012/13
Australia,JP Faulkner,Australia v West Indies at Perth, 2012/13
Australia,Fawad Ahmed,Scotland v Australia at Edinburgh, 2013
