TEAMNAME,NAME,DEBUTDATE 
Zimbabwe,R Mutumbami,Zimbabwe v Afghanistan at Bulawayo, 2014
Zimbabwe,LM Jongwe,Zimbabwe v South Africa at Bulawayo, 2014
Zimbabwe,N Madziva,Zimbabwe v South Africa at Bulawayo, 2014
Zimbabwe,J Nyumbu,Zimbabwe v South Africa at Bulawayo, 2014
Zimbabwe,SF Mire,Bangladesh v Zimbabwe at Chattogram, 2014/15
Zimbabwe,PJ Moor,Bangladesh v Zimbabwe at Dhaka, 2014/15
Zimbabwe,R Kaia,Pakistan v Zimbabwe at Lahore, 2015
Zimbabwe,BB Chari,Zimbabwe v Pakistan at Harare, 2015/16
Zimbabwe,WP Masakadza,Zimbabwe v Ireland at Harare, 2015/16
Zimbabwe,T Muzarabani,Zimbabwe v Ireland at Harare, 2015/16
Zimbabwe,TS Chisoro,Zimbabwe v Afghanistan at Bulawayo, 2015/16
Zimbabwe,CT Mumba,Zimbabwe v Sri Lanka at Harare, 2016/17
Zimbabwe,TK Musakanda,Zimbabwe v Sri Lanka at Bulawayo, 2016/17
Zimbabwe,RP Burl,Zimbabwe v Afghanistan at Harare, 2016/17
Zimbabwe,R Ngarava,Zimbabwe v Afghanistan at Harare, 2016/17
Zimbabwe,B Muzarabani,Bangladesh v Zimbabwe at Dhaka, 2017/18
Zimbabwe,R Murray,Zimbabwe v Pakistan at Bulawayo, 2018
Zimbabwe,LN Roche,Zimbabwe v Pakistan at Bulawayo, 2018
Zimbabwe,PS Masvaure,Zimbabwe v Pakistan at Bulawayo, 2018
Zimbabwe,TS Kamunhukamwe,Zimbabwe v Pakistan at Bulawayo, 2018
Zimbabwe,B Mavuta,South Africa v Zimbabwe at Kimberley, 2018/19
