TEAMNAME,NAME,DEBUTDATE 
Sri Lanka,KADM Fernando,Sri Lanka v England at Dambulla, 2003/04
Sri Lanka,KMDN Kulasekara,Sri Lanka v England at Dambulla, 2003/04
Sri Lanka,WS Jayantha,Sri Lanka v Australia at Colombo (RPS), 2003/04
Sri Lanka,HMRKB Herath,Zimbabwe v Sri Lanka at Harare, 2004
Sri Lanka,MF Maharoof,Zimbabwe v Sri Lanka at Harare, 2004
Sri Lanka,SHT Kandamby,Zimbabwe v Sri Lanka at Harare, 2004
Sri Lanka,SL Malinga,Sri Lanka v United Arab Emirates at Dambulla, 2004
Sri Lanka,LHD Dilhara,Sri Lanka v India at Dambulla, 2005
Sri Lanka,WU Tharanga,Sri Lanka v West Indies at Dambulla, 2005
Sri Lanka,PS Jayaprakashdaran,Sri Lanka v India at Dambulla, 2005
Sri Lanka,HMCM Bandara,New Zealand v Sri Lanka at Wellington, 2005/06
Sri Lanka,MG Vandort,Australia v Sri Lanka at Melbourne (Docklands), 2005/06
Sri Lanka,CK Kapugedera,Australia v Sri Lanka at Perth, 2005/06
Sri Lanka,KTGD Prasad,Bangladesh v Sri Lanka at Chattogram, 2005/06
Sri Lanka,MKDI Amerasinghe,Pakistan v Sri Lanka at Abu Dhabi, 2007
Sri Lanka,SM Warnapura,Pakistan v Sri Lanka at Abu Dhabi, 2007
Sri Lanka,MDK Perera,Sri Lanka v England at Colombo (RPS), 2007/08
Sri Lanka,BAW Mendis,West Indies v Sri Lanka at Port of Spain, 2007/08
Sri Lanka,ML Udawatte,West Indies v Sri Lanka at Port of Spain, 2007/08
Sri Lanka,T Thushara,West Indies v Sri Lanka at Gros Islet, 2007/08
Sri Lanka,AD Mathews,Zimbabwe v Sri Lanka at Harare, 2008/09
Sri Lanka,UWMBCA Welegedara,India v Sri Lanka at Rajkot, 2009/10
Sri Lanka,S Randiv,India v Sri Lanka at Nagpur, 2009/10
Sri Lanka,RAS Lakmal,India v Sri Lanka at Nagpur, 2009/10
Sri Lanka,NLTC Perera,India v Sri Lanka at Kolkata, 2009/10
Sri Lanka,M Pushpakumara,India v Sri Lanka at Delhi, 2009/10
Sri Lanka,HDRL Thirimanne,India v Sri Lanka at Dhaka, 2009/10
Sri Lanka,LD Chandimal,Zimbabwe v Sri Lanka at Bulawayo, 2010
Sri Lanka,BMAJ Mendis,Zimbabwe v Sri Lanka at Bulawayo, 2010
Sri Lanka,FDM Karunaratne,England v Sri Lanka at Manchester, 2011
Sri Lanka,RMS Eranga,Sri Lanka v Australia at Hambantota, 2011
Sri Lanka,S Prasanna,Sri Lanka v Australia at Colombo (RPS), 2011
Sri Lanka,CKB Kulasekara,Pakistan v Sri Lanka at Dubai (DSC), 2011/12
Sri Lanka,SMSM Senanayake,South Africa v Sri Lanka at Kimberley, 2011/12
Sri Lanka,S Weerakoon,Sri Lanka v Pakistan at Colombo (RPS), 2012
Sri Lanka,I Udana,Sri Lanka v India at Hambantota, 2012
Sri Lanka,N Pradeep,Sri Lanka v India at Colombo (RPS), 2012
Sri Lanka,A Dananjaya,Sri Lanka v New Zealand at Hambantota, 2012/13
Sri Lanka,MDKJ Perera,Australia v Sri Lanka at Adelaide, 2012/13
Sri Lanka,AK Perera,Sri Lanka v South Africa at Pallekele, 2013
Sri Lanka,SMA Priyanjan,Pakistan v Sri Lanka at Abu Dhabi, 2013/14
Sri Lanka,KDK Vithanage,Pakistan v Sri Lanka at Abu Dhabi, 2013/14
Sri Lanka,PC de Silva,Pakistan v Sri Lanka at Fatullah, 2013/14
Sri Lanka,PLS Gamage,India v Sri Lanka at Cuttack, 2014/15
Sri Lanka,N Dickwella,India v Sri Lanka at Ranchi, 2014/15
Sri Lanka,PVD Chameera,New Zealand v Sri Lanka at Wellington, 2014/15
Sri Lanka,PHT Kaushal,South Africa v Sri Lanka at Sydney, 2014/15
Sri Lanka,TAM Siriwardana,Sri Lanka v Pakistan at Dambulla, 2015
Sri Lanka,SS Pathirana,Sri Lanka v Pakistan at Pallekele, 2015
Sri Lanka,MD Gunathilaka,Sri Lanka v West Indies at Colombo (RPS), 2015/16
Sri Lanka,GSNFG Jayasuriya,Sri Lanka v West Indies at Colombo (RPS), 2015/16
Sri Lanka,JDF Vandersay,New Zealand v Sri Lanka at Christchurch, 2015/16
Sri Lanka,DM de Silva,Ireland v Sri Lanka at Dublin (Malahide), 2016
Sri Lanka,BKG Mendis,Ireland v Sri Lanka at Dublin (Malahide), 2016
Sri Lanka,MD Shanaka,Ireland v Sri Lanka at Dublin (Malahide), 2016
Sri Lanka,KMC Bandara,England v Sri Lanka at Cardiff, 2016
Sri Lanka,MA Aponso,Sri Lanka v Australia at Colombo (RPS), 2016
Sri Lanka,PADLR Sandakan,Sri Lanka v Australia at Colombo (RPS), 2016
Sri Lanka,WIA Fernando,Sri Lanka v Australia at Dambulla, 2016
Sri Lanka,DAS Gunaratne,Zimbabwe v Sri Lanka at Harare, 2016/17
Sri Lanka,DS Weerakkody,South Africa v Sri Lanka at Port Elizabeth, 2016/17
Sri Lanka,CBRLS Kumara,South Africa v Sri Lanka at Johannesburg, 2016/17
Sri Lanka,LD Madushanka,South Africa v Sri Lanka at Johannesburg, 2016/17
Sri Lanka,PWH de Silva,Sri Lanka v Zimbabwe at Galle, 2017
Sri Lanka,AM Fernando,Sri Lanka v Zimbabwe at Hambantota, 2017
Sri Lanka,MVT Fernando,Sri Lanka v India at Dambulla, 2017
Sri Lanka,EMDY Munaweera,Sri Lanka v India at Colombo (RPS), 2017
Sri Lanka,PM Pushpakumara,Sri Lanka v India at Colombo (RPS), 2017
Sri Lanka,S Samarawickrama,Pakistan v Sri Lanka at Sharjah, 2017/18
Sri Lanka,DSK Madushanka,Bangladesh v Sri Lanka at Dhaka, 2017/18
Sri Lanka,NGRP Jayasuriya,Sri Lanka v South Africa at Dambulla, 2018
Sri Lanka,CAK Rajitha,Sri Lanka v South Africa at Dambulla, 2018
Sri Lanka,BOP Fernando,South Africa v Sri Lanka at Johannesburg, 2018/19
Sri Lanka,PHKD Mendis,South Africa v Sri Lanka at Durban, 2018/19
Sri Lanka,PARP Perera,South Africa v Sri Lanka at Port Elizabeth, 2018/19
