TEAMNAME,NAME,DEBUTDATE 
Pakistan,Kashif Raza,Pakistan v Sri Lanka at Sharjah, 2000/01
Pakistan,Taufeeq Umar,Pakistan v Sri Lanka at Sharjah, 2001/02
Pakistan,Danish Kaneria,Pakistan v Zimbabwe at Sharjah, 2001/02
Pakistan,Naved Latif,Pakistan v Zimbabwe at Sharjah, 2001/02
Pakistan,Misbah-ul-Haq,Pakistan v New Zealand at Lahore, 2002
Pakistan,Kamran Akmal,Zimbabwe v Pakistan at Bulawayo, 2002/03
Pakistan,Mohammad Hafeez,Pakistan v Zimbabwe at Sharjah, 2002/03
Pakistan,Umar Gul,Pakistan v Zimbabwe at Sharjah, 2002/03
Pakistan,Naved-ul-Hasan,Pakistan v Sri Lanka at Sharjah, 2002/03
Pakistan,Yasir Hameed,New Zealand v Pakistan at Dambulla, 2003
Pakistan,Faisal Athar,New Zealand v Pakistan at Dambulla, 2003
Pakistan,Junaid Zia,Pakistan v Bangladesh at Multan, 2003
Pakistan,Salman Butt,Pakistan v West Indies at Southampton, 2004
Pakistan,Bazid Khan,Pakistan v Zimbabwe at Multan, 2004/05
Pakistan,Iftikhar Anjum,Pakistan v Zimbabwe at Multan, 2004/05
Pakistan,Mohammad Khalil,Australia v Pakistan at Perth, 2004/05
Pakistan,Mohammad Asif,Pakistan v England at Rawalpindi, 2005/06
Pakistan,Abdur Rehman,Pakistan v West Indies at Faisalabad, 2006/07
Pakistan,Fawad Alam,Pakistan v Sri Lanka at Abu Dhabi, 2007
Pakistan,Najaf Shah,Pakistan v Sri Lanka at Abu Dhabi, 2007
Pakistan,Sohail Tanvir,Pakistan v South Africa at Lahore, 2007/08
Pakistan,Sarfaraz Ahmed,India v Pakistan at Jaipur, 2007/08
Pakistan,Nasir Jamshed,Pakistan v Zimbabwe at Karachi, 2007/08
Pakistan,Samiullah Khan,Pakistan v Zimbabwe at Karachi, 2007/08
Pakistan,Kamran Hussain,Pakistan v Zimbabwe at Multan, 2007/08
Pakistan,Khalid Latif,Pakistan v Zimbabwe at Faisalabad, 2007/08
Pakistan,Sohail Khan,Pakistan v Zimbabwe at Faisalabad, 2007/08
Pakistan,Abdur Rauf,Pakistan v Zimbabwe at Sheikhupura, 2007/08
Pakistan,Khurram Manzoor,Pakistan v Zimbabwe at Sheikhupura, 2007/08
Pakistan,Rizwan Ahmed,Pakistan v Zimbabwe at Sheikhupura, 2007/08
Pakistan,Wahab Riaz,Pakistan v Zimbabwe at Sheikhupura, 2007/08
Pakistan,Naumanullah,Pakistan v Bangladesh at Karachi, 2007/08
Pakistan,Mansoor Amjad,Pakistan v Sri Lanka at Karachi, 2008
Pakistan,Saeed Ajmal,Pakistan v India at Karachi, 2008
Pakistan,Ahmed Shehzad,Australia v Pakistan at Dubai (DSC), 2009
Pakistan,Mohammad Amir,Sri Lanka v Pakistan at Dambulla, 2009
Pakistan,Umar Akmal,Sri Lanka v Pakistan at Dambulla, 2009
Pakistan,Shahzaib Hasan,Sri Lanka v Pakistan at Dambulla, 2010
Pakistan,Umar Amin,Sri Lanka v Pakistan at Dambulla, 2010
Pakistan,Asad Shafiq,Bangladesh v Pakistan at Dambulla, 2010
Pakistan,Mohammad Irfan,England v Pakistan at Chester-le-Street, 2010
Pakistan,Zulqarnain Haider,Pakistan v South Africa at Abu Dhabi, 2010/11
Pakistan,Hammad Azam,West Indies v Pakistan at Gros Islet, 2011
Pakistan,Junaid Khan,West Indies v Pakistan at Gros Islet, 2011
Pakistan,Mohammad Salman,West Indies v Pakistan at Gros Islet, 2011
Pakistan,Tanvir Ahmed,West Indies v Pakistan at Bridgetown, 2011
Pakistan,Usman Salahuddin,West Indies v Pakistan at Bridgetown, 2011
Pakistan,Azhar Ali,Ireland v Pakistan at Belfast, 2011
Pakistan,Adnan Akmal,Zimbabwe v Pakistan at Bulawayo, 2011
Pakistan,Aizaz Cheema,Zimbabwe v Pakistan at Bulawayo, 2011
Pakistan,Yasir Shah,Zimbabwe v Pakistan at Harare, 2011
Pakistan,Rahat Ali,Sri Lanka v Pakistan at Pallekele, 2012
Pakistan,Ehsan Adil,Scotland v Pakistan at Edinburgh, 2013
Pakistan,Asad Ali,Ireland v Pakistan at Dublin, 2013
Pakistan,Haris Sohail,West Indies v Pakistan at Gros Islet, 2013
Pakistan,Sohaib Maqsood,Pakistan v South Africa at Abu Dhabi, 2013/14
Pakistan,Anwar Ali,South Africa v Pakistan at Cape Town, 2013/14
Pakistan,Bilawal Bhatti,South Africa v Pakistan at Cape Town, 2013/14
Pakistan,Sharjeel Khan,Pakistan v Sri Lanka at Sharjah, 2013/14
